generation	map	line	x	y	sprite	role	visual_authority	script_or_text	asset	status
gen2	AzaleaGym	376	5	7	SPRITE_BUGSY	nonbattle	SPRITE_BUGSY	AzaleaGymBugsyScript	assets/characters/npcs/bugsy-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaGym	377	5	3	SPRITE_BUG_CATCHER	battle	TrainerBugCatcher	TrainerBugCatcherBenny	assets/characters/npcs/bug-catcher-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaGym	378	8	8	SPRITE_BUG_CATCHER	battle	TrainerBugCatcher	TrainerBugCatcherAl	assets/characters/npcs/bug-catcher-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaGym	379	0	2	SPRITE_BUG_CATCHER	battle	TrainerBugCatcher	TrainerBugCatcherJosh	assets/characters/npcs/bug-catcher-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaGym	380	4	10	SPRITE_TWIN	battle	TrainerTwins	TrainerTwinsAmyandmay1	assets/characters/npcs/twins-gen2-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaGym	381	5	10	SPRITE_TWIN	battle	TrainerTwins	TrainerTwinsAmyandmay2	assets/characters/npcs/twins-gen2-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaGym	382	7	13	SPRITE_GYM_GUIDE	nonbattle	SPRITE_GYM_GUIDE	AzaleaGymGuideScript	assets/characters/npcs/gym-guide-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaMart	58	1	3	SPRITE_CLERK	nonbattle	SPRITE_CLERK	AzaleaMartClerkScript	assets/characters/npcs/clerk-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaMart	59	2	5	SPRITE_COOLTRAINER_M	nonbattle	SPRITE_COOLTRAINER_M	AzaleaMartCooltrainerMScript	assets/characters/npcs/cooltrainer-male-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaMart	60	7	2	SPRITE_BUG_CATCHER	nonbattle	SPRITE_BUG_CATCHER	AzaleaMartBugCatcherScript	assets/characters/npcs/bug-catcher-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaPokecenter1F	90	3	1	SPRITE_NURSE	nonbattle	SPRITE_NURSE	AzaleaPokecenter1FNurseScript	assets/characters/npcs/nurse-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaPokecenter1F	91	9	6	SPRITE_GENTLEMAN	nonbattle	SPRITE_GENTLEMAN	AzaleaPokecenter1FGentlemanScript	assets/characters/npcs/gentleman-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaPokecenter1F	92	6	1	SPRITE_FISHING_GURU	nonbattle	SPRITE_FISHING_GURU	AzaleaPokecenter1FFishingGuruScript	assets/characters/npcs/fishing-guru-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaPokecenter1F	93	1	4	SPRITE_POKEFAN_F	nonbattle	SPRITE_POKEFAN_F	AzaleaPokecenter1FPokefanFScript	assets/characters/npcs/pokefan-female-gen2-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaTown	485	31	9	SPRITE_AZALEA_ROCKET	nonbattle	SPRITE_AZALEA_ROCKET	AzaleaTownRocket1Script	assets/characters/npcs/team-rocket-male-kasc-hd-4x3-walk-sheet-v1.png|assets/characters/npcs/silver-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaTown	486	21	9	SPRITE_GRAMPS	nonbattle	SPRITE_GRAMPS	AzaleaTownGrampsScript	assets/characters/npcs/gramps-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaTown	487	15	13	SPRITE_TEACHER	nonbattle	SPRITE_TEACHER	AzaleaTownTeacherScript	assets/characters/npcs/teacher-gen2-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaTown	488	7	9	SPRITE_YOUNGSTER	nonbattle	SPRITE_YOUNGSTER	AzaleaTownYoungsterScript	assets/characters/npcs/youngster-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaTown	494	11	10	SPRITE_AZALEA_ROCKET	nonbattle	SPRITE_AZALEA_ROCKET	ObjectEvent	assets/characters/npcs/team-rocket-male-kasc-hd-4x3-walk-sheet-v1.png|assets/characters/npcs/silver-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaTown	495	10	16	SPRITE_AZALEA_ROCKET	nonbattle	SPRITE_AZALEA_ROCKET	AzaleaTownRocket2Script	assets/characters/npcs/team-rocket-male-kasc-hd-4x3-walk-sheet-v1.png|assets/characters/npcs/silver-kasc-hd-4x3-walk-sheet-v1.png	covered
gen2	AzaleaTown	496	6	5	SPRITE_KURT_OUTSIDE	nonbattle	SPRITE_KURT_OUTSIDE	AzaleaTownKurtScript	assets/characters/npcs/kurt-kasc-hd-4x3-walk-sheet-v1.png	covered
